"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Description"
"C1","1","1000uF 10V","","","","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","","Polarized capacitor"
"C2","1","47uF 16V","","","","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","","Polarized capacitor"
"C3","1","10uF 50V","","","","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","","Polarized capacitor"
"D1","1","LED","","","","LED_THT:LED_Rectangular_W3.0mm_H2.0mm","","Light emitting diode"
"J1,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J19,J20,J21,J22,J23,J24,J25,J26","19","Screw_Terminal_01x02","","","","TerminalBlock_RND:TerminalBlock_RND_205-00232_1x02_P5.08mm_Horizontal","","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"
"J2,J3","2","Conn_02x19_Odd_Even","","","","Connector_PinSocket_2.54mm:PinSocket_2x19_P2.54mm_Vertical","","Generic connector, double row, 02x19, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)"
"J4,J5,J6,J7,J27,J28,J29,J30","8","Conn_01x04","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)"
"J18,J32","2","Conn_01x18_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x18_P2.54mm_Vertical","","Generic connector, single row, 01x18, script generated"
"J31","1","USB_C_Receptacle_PowerOnly_6P","","","","Connector_USB:USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","USB Power-Only 6P Type-C Receptacle connector"
"R1,R2","2","5.1k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","Resistor"
"R3","1","330","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","Resistor"
"R4","1","220","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","Resistor"
"U2","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf","1A Low Dropout regulator, positive, 3.3V fixed output, SOT-223"
